generator,repeat,chi2,df,p_value,lower_tail,central_p,min_count,max_count,count_std
lcg_minstd,58,109.5250000000,124,0.8198530581,0.1801469419,0.3602938838,61,108,8.4060270237
lcg_minstd,59,142.4250000000,124,0.123341241,0.876658759,0.2466824821,59,108,9.5857757523
lcg_minstd,60,126.0750000000,124,0.4311976643,0.5688023357,0.8623953287,51,106,9.0187975738
lcg_minstd,61,134.5000000000,124,0.2448241532,0.7551758468,0.4896483064,59,100,9.3152666923
lcg_minstd,62,99.6000000000,124,0.9475431271,0.05245687294,0.1049137459,57,101,8.0161128059
lcg_minstd,63,144.8000000000,124,0.097622874,0.902377126,0.195245748,61,105,9.6653688413
lcg_minstd,64,148.4750000000,124,0.06629434036,0.9337056596,0.1325886807,60,101,9.7872530661
lcg_minstd,65,113.7750000000,124,0.7341450732,0.2658549268,0.5317098536,57,99,8.5675682551
lcg_minstd,66,132.1250000000,124,0.2921190403,0.7078809597,0.5842380806,59,103,9.2326559279
lcg_minstd,67,121.2250000000,124,0.5537397422,0.4462602578,0.8925205157,59,107,8.8436235458
lcg_minstd,68,121.1500000000,124,0.5556500026,0.4443499974,0.8886999948,57,98,8.8408874171
lcg_minstd,69,141.3750000000,124,0.1362117331,0.8637882669,0.2724234663,58,108,9.5503757737
lcg_minstd,70,133.7750000000,124,0.258753651,0.741246349,0.517507302,55,103,9.2901265660
lcg_minstd,71,145.9250000000,124,0.08699614907,0.9130038509,0.1739922981,59,112,9.7028429489
lcg_minstd,72,123.7500000000,124,0.4894407943,0.5105592057,0.9788815886,61,102,8.9352509577
lcg_minstd,73,127.5000000000,124,0.3964895472,0.6035104528,0.7929790945,47,100,9.0696231739
lcg_minstd,74,119.3250000000,124,0.6018713143,0.3981286857,0.7962573713,62,103,8.7740453024
lcg_minstd,75,113.2500000000,124,0.7456138492,0.2543861508,0.5087723017,60,106,8.5477784324
lcg_minstd,76,112.5000000000,124,0.761595936,0.238404064,0.476808128,63,100,8.5194275137
lcg_minstd,77,124.4500000000,124,0.4717476423,0.5282523577,0.9434952845,57,102,8.9604867379
lcg_minstd,78,141.4250000000,124,0.1355772797,0.8644227203,0.2711545594,60,107,9.5520644619
lcg_minstd,79,121.4250000000,124,0.548643596,0.451356404,0.902712808,45,101,8.8509157536
lcg_minstd,80,113.1000000000,124,0.7488487966,0.2511512034,0.5023024069,64,102,8.5421157763
lcg_minstd,81,133.9750000000,124,0.2548654727,0.7451345273,0.5097309454,54,103,9.2970685633
lcg_minstd,82,107.5750000000,124,0.8531699554,0.1468300446,0.2936600892,63,100,8.3308598480
lcg_minstd,83,105.6000000000,124,0.8827564731,0.1172435269,0.2344870539,58,100,8.2540312731
lcg_minstd,84,139.5750000000,124,0.1605205086,0.8394794914,0.3210410171,55,104,9.4893828617
lcg_minstd,85,148.3750000000,124,0.06702293805,0.9329770619,0.1340458761,58,103,9.7839565847
lcg_minstd,86,170.7250000000,124,0.003459620047,0.99654038,0.006919240095,54,106,10.4950064931
lcg_minstd,87,131.8750000000,124,0.2973688947,0.7026311053,0.5947377893,58,106,9.2239170183
lcg_minstd,88,129.1250000000,124,0.3582033312,0.6417966688,0.7164066625,55,105,9.1272368005
lcg_minstd,89,149.1000000000,124,0.06188563038,0.9381143696,0.1237712608,56,105,9.8078309726
lcg_minstd,90,110.6750000000,124,0.798355055,0.201644945,0.4032898899,60,103,8.4500429470
lcg_minstd,91,122.5000000000,124,0.5212314319,0.4787685681,0.9575371361,57,104,8.8900088900
lcg_minstd,92,134.7000000000,124,0.2410623614,0.7589376386,0.4821247228,55,103,9.3221899684
lcg_minstd,93,127.0000000000,124,0.4085601598,0.5914398402,0.8171203197,59,103,9.0518221299
lcg_minstd,94,105.2500000000,124,0.8875595271,0.1124404729,0.2248809458,57,102,8.2403413647
lcg_minstd,95,145.5750000000,124,0.09019964354,0.9098003565,0.1803992871,57,114,9.6911998658
lcg_minstd,96,123.2250000000,124,0.5027701177,0.4972298823,0.9944597646,62,102,8.9162772501
lcg_minstd,97,103.9500000000,124,0.9042493339,0.09575066605,0.1915013321,60,102,8.1892927734
lcg_minstd,98,142.5000000000,124,0.122457973,0.877542027,0.2449159461,60,105,9.5882993211
lcg_minstd,99,133.1500000000,124,0.2711246674,0.7288753326,0.5422493349,58,105,9.2683993120
lcg_minstd,100,122.6750000000,124,0.5167712613,0.4832287387,0.9664574774,58,107,8.8963566301
lcg_minstd,101,108.5250000000,124,0.8374412285,0.1625587715,0.3251175431,59,106,8.3675641039
lcg_minstd,102,125.7000000000,124,0.4404760734,0.5595239266,0.8809521468,62,102,9.0053747392
lcg_minstd,103,158.5500000000,124,0.01972692831,0.9802730717,0.03945385662,59,104,10.1138678348
lcg_minstd,104,126.5500000000,124,0.4195260727,0.5804739273,0.8390521454,58,111,9.0357712062
lcg_minstd,105,133.2750000000,124,0.2686239651,0.7313760349,0.5372479302,60,101,9.2727488356
lcg_minstd,106,124.1750000000,124,0.4786858841,0.5213141159,0.9573717682,58,107,8.9505811669
lcg_minstd,107,118.0000000000,124,0.6348785217,0.3651214783,0.7302429565,59,100,8.7251952562
lcg_minstd,108,121.7500000000,124,0.5403575838,0.4596424162,0.9192848324,56,113,8.8627527945
lcg_minstd,109,135.1500000000,124,0.2327276461,0.7672723539,0.4654552922,56,108,9.3377485716
lcg_minstd,110,137.7750000000,124,0.1877430687,0.8122569313,0.3754861373,62,109,9.4279953741
lcg_minstd,111,100.5750000000,124,0.9394300164,0.06056998356,0.1211399671,54,99,8.0552527443
lcg_minstd,112,132.3250000000,124,0.2879551592,0.7120448408,0.5759103184,49,97,9.2396411046
lcg_minstd,113,107.3250000000,124,0.8571482356,0.1428517644,0.2857035288,58,106,8.3211739246
lcg_minstd,114,109.5500000000,124,0.8194000124,0.1805999876,0.3611999751,55,99,8.4069863420
lcg_minstd,115,126.5000000000,124,0.4207501473,0.5792498527,0.8415002946,57,107,9.0339860098
lcg_minstd,116,120.4000000000,124,0.5747176158,0.4252823842,0.8505647684,58,101,8.8134794125
lcg_minstd,117,126.7000000000,124,0.4158604902,0.5841395098,0.8317209803,61,106,9.0411246803
