formula,h,log10_h,abs_error,log10_abs_error
Backward O(h),2.511886431509582e-10,-9.6,2.137050814088326e-08,-7.670185151202428
Backward O(h),3.1622776601683795e-10,-9.5,5.812604608745886e-08,-7.235629218086112
Backward O(h),3.9810717055349854e-10,-9.399999999999999,2.4218808514220314e-08,-7.615847226528546
Backward O(h),5.011872336272735e-10,-9.299999999999999,9.761410224573552e-08,-7.010487435559939
Backward O(h),6.309573444801942e-10,-9.2,3.233733059104793e-08,-7.490295833453314
Backward O(h),7.943282347242822e-10,-9.1,2.3256000458715675e-09,-8.633464972671337
Backward O(h),1e-09,-9.0,5.579618367335115e-08,-7.253395504759283
Backward O(h),1.2589254117941712e-09,-8.899999999999999,1.8408839785877262e-08,-7.734973581972319
Backward O(h),1.5848931924611173e-09,-8.799999999999999,6.008590403006053e-09,-8.221227400209967
Backward O(h),1.9952623149688828e-09,-8.7,9.712491144675539e-09,-8.012669364157084
Backward O(h),2.511886431509582e-09,-8.6,7.288791792348093e-10,-9.137344455413585
