case,sweep,T,E,E_per_spin,M,m,abs_m,m2,acceptance
L30_T2,614,2.0,-1420.0,-1.5777777777777777,746,0.8288888888888889,0.8288888888888889,0.6870567901234568,0.11888888888888889
L30_T2,615,2.0,-1424.0,-1.5822222222222222,762,0.8466666666666667,0.8466666666666667,0.7168444444444445,0.13777777777777778
L30_T2,616,2.0,-1516.0,-1.6844444444444444,782,0.8688888888888889,0.8688888888888889,0.754967901234568,0.1288888888888889
L30_T2,617,2.0,-1524.0,-1.6933333333333334,796,0.8844444444444445,0.8844444444444445,0.782241975308642,0.09666666666666666
L30_T2,618,2.0,-1552.0,-1.7244444444444444,826,0.9177777777777778,0.9177777777777778,0.8423160493827161,0.09
L30_T2,619,2.0,-1556.0,-1.728888888888889,808,0.8977777777777778,0.8977777777777778,0.8060049382716049,0.09
L30_T2,620,2.0,-1532.0,-1.7022222222222223,782,0.8688888888888889,0.8688888888888889,0.754967901234568,0.08777777777777777
L30_T2,621,2.0,-1448.0,-1.6088888888888888,756,0.84,0.84,0.7055999999999999,0.12111111111111111
L30_T2,622,2.0,-1468.0,-1.6311111111111112,766,0.8511111111111112,0.8511111111111112,0.7243901234567902,0.13
L30_T2,623,2.0,-1504.0,-1.6711111111111112,772,0.8577777777777778,0.8577777777777778,0.7357827160493827,0.11222222222222222
L30_T2,624,2.0,-1504.0,-1.6711111111111112,778,0.8644444444444445,0.8644444444444445,0.7472641975308643,0.10333333333333333
L30_T2,625,2.0,-1588.0,-1.7644444444444445,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.09
L30_T2,626,2.0,-1596.0,-1.7733333333333334,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.06666666666666667
L30_T2,627,2.0,-1564.0,-1.7377777777777779,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.07333333333333333
L30_T2,628,2.0,-1516.0,-1.6844444444444444,796,0.8844444444444445,0.8844444444444445,0.782241975308642,0.09111111111111111
L30_T2,629,2.0,-1476.0,-1.64,786,0.8733333333333333,0.8733333333333333,0.762711111111111,0.11888888888888889
L30_T2,630,2.0,-1528.0,-1.6977777777777778,796,0.8844444444444445,0.8844444444444445,0.782241975308642,0.10333333333333333
L30_T2,631,2.0,-1596.0,-1.7733333333333334,840,0.9333333333333333,0.9333333333333333,0.8711111111111112,0.08666666666666667
L30_T2,632,2.0,-1584.0,-1.76,838,0.9311111111111111,0.9311111111111111,0.8669679012345679,0.06777777777777778
L30_T2,633,2.0,-1580.0,-1.7555555555555555,822,0.9133333333333333,0.9133333333333333,0.8341777777777778,0.07555555555555556
L30_T2,634,2.0,-1680.0,-1.8666666666666667,866,0.9622222222222222,0.9622222222222222,0.9258716049382716,0.06
L30_T2,635,2.0,-1652.0,-1.8355555555555556,860,0.9555555555555556,0.9555555555555556,0.9130864197530865,0.04111111111111111
L30_T2,636,2.0,-1660.0,-1.8444444444444446,852,0.9466666666666667,0.9466666666666667,0.8961777777777777,0.044444444444444446
L30_T2,637,2.0,-1664.0,-1.8488888888888888,860,0.9555555555555556,0.9555555555555556,0.9130864197530865,0.04666666666666667
L30_T2,638,2.0,-1660.0,-1.8444444444444446,860,0.9555555555555556,0.9555555555555556,0.9130864197530865,0.044444444444444446
L30_T2,639,2.0,-1544.0,-1.7155555555555555,822,0.9133333333333333,0.9133333333333333,0.8341777777777778,0.06333333333333334
L30_T2,640,2.0,-1620.0,-1.8,842,0.9355555555555556,0.9355555555555556,0.8752641975308643,0.07333333333333333
L30_T2,641,2.0,-1600.0,-1.7777777777777777,844,0.9377777777777778,0.9377777777777778,0.8794271604938272,0.06333333333333334
L30_T2,642,2.0,-1580.0,-1.7555555555555555,834,0.9266666666666666,0.9266666666666666,0.8587111111111111,0.06777777777777778
L30_T2,643,2.0,-1556.0,-1.728888888888889,822,0.9133333333333333,0.9133333333333333,0.8341777777777778,0.07777777777777778
L30_T2,644,2.0,-1520.0,-1.6888888888888889,808,0.8977777777777778,0.8977777777777778,0.8060049382716049,0.08777777777777777
L30_T2,645,2.0,-1540.0,-1.711111111111111,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.09111111111111111
L30_T2,646,2.0,-1560.0,-1.7333333333333334,818,0.9088888888888889,0.9088888888888889,0.8260790123456789,0.09
L30_T2,647,2.0,-1616.0,-1.7955555555555556,832,0.9244444444444444,0.9244444444444444,0.8545975308641974,0.07222222222222222
L30_T2,648,2.0,-1580.0,-1.7555555555555555,830,0.9222222222222223,0.9222222222222223,0.8504938271604939,0.07444444444444444
L30_T2,649,2.0,-1668.0,-1.8533333333333333,866,0.9622222222222222,0.9622222222222222,0.9258716049382716,0.057777777777777775
L30_T2,650,2.0,-1604.0,-1.7822222222222222,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.05444444444444444
L30_T2,651,2.0,-1624.0,-1.8044444444444445,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.06222222222222222
L30_T2,652,2.0,-1552.0,-1.7244444444444444,822,0.9133333333333333,0.9133333333333333,0.8341777777777778,0.07666666666666666
L30_T2,653,2.0,-1620.0,-1.8,842,0.9355555555555556,0.9355555555555556,0.8752641975308643,0.07555555555555556
