order,sweep,E_per_spin,m,abs_m
random,283,-1.191111111111111,-0.18888888888888888,0.18888888888888888
random,284,-1.2222222222222223,-0.19111111111111112,0.19111111111111112
random,285,-1.28,-0.19333333333333333,0.19333333333333333
random,286,-1.248888888888889,-0.18666666666666668,0.18666666666666668
random,287,-1.208888888888889,-0.1711111111111111,0.1711111111111111
random,288,-1.2266666666666666,-0.16,0.16
random,289,-1.1422222222222222,-0.15333333333333332,0.15333333333333332
random,290,-1.1333333333333333,-0.08666666666666667,0.08666666666666667
random,291,-1.1555555555555554,-0.07111111111111111,0.07111111111111111
random,292,-1.2044444444444444,-0.14444444444444443,0.14444444444444443
random,293,-1.2533333333333334,-0.14,0.14
random,294,-1.2844444444444445,-0.1511111111111111,0.1511111111111111
random,295,-1.3155555555555556,-0.17777777777777778,0.17777777777777778
random,296,-1.2355555555555555,-0.11777777777777777,0.11777777777777777
random,297,-1.2444444444444445,-0.19111111111111112,0.19111111111111112
random,298,-1.1155555555555556,-0.18444444444444444,0.18444444444444444
random,299,-1.16,-0.15555555555555556,0.15555555555555556
random,300,-1.28,-0.11555555555555555,0.11555555555555555
random,301,-1.2355555555555555,-0.07333333333333333,0.07333333333333333
random,302,-1.231111111111111,-0.04,0.04
random,303,-1.2222222222222223,-0.008888888888888889,0.008888888888888889
random,304,-1.1644444444444444,-0.051111111111111114,0.051111111111111114
random,305,-1.208888888888889,-0.06444444444444444,0.06444444444444444
random,306,-1.2533333333333334,-0.008888888888888889,0.008888888888888889
random,307,-1.2355555555555555,-0.015555555555555555,0.015555555555555555
random,308,-1.16,0.011111111111111112,0.011111111111111112
random,309,-1.1511111111111112,0.011111111111111112,0.011111111111111112
random,310,-1.1155555555555556,0.03333333333333333,0.03333333333333333
random,311,-1.1422222222222222,0.03333333333333333,0.03333333333333333
random,312,-1.1822222222222223,0.04888888888888889,0.04888888888888889
random,313,-1.2844444444444445,-0.015555555555555555,0.015555555555555555
random,314,-1.208888888888889,-0.03111111111111111,0.03111111111111111
random,315,-1.1822222222222223,-0.09555555555555556,0.09555555555555556
random,316,-1.2133333333333334,-0.10444444444444445,0.10444444444444445
random,317,-1.1733333333333333,-0.04,0.04
random,318,-1.1333333333333333,-0.042222222222222223,0.042222222222222223
random,319,-1.271111111111111,-0.02666666666666667,0.02666666666666667
random,320,-1.2933333333333332,-0.05555555555555555,0.05555555555555555
random,321,-1.271111111111111,-0.051111111111111114,0.051111111111111114
random,322,-1.2577777777777779,-0.10222222222222223,0.10222222222222223
random,323,-1.2177777777777778,-0.10888888888888888,0.10888888888888888
random,324,-1.2355555555555555,-0.11555555555555555,0.11555555555555555
