x,precision,method,value
0.712249999999999999999999999999999928,quad,expanded,3.89182517466026237423789693892321345e-06
0.712249999999999999999999999999999928,quad,horner,3.89182517466026237423789694564591266e-06
0.712499976,float,direct,3.85814792e-06
0.712499976,float,expanded,4.99933958e-06
0.712499976,float,horner,1.78813934e-06
0.71249999999999991,double,direct,3.8581445080832697e-06
0.71249999999999991,double,expanded,3.8581445056737329e-06
0.71249999999999991,double,horner,3.8581445068741616e-06
0.712499999999999999999999999999999923,quad,direct,3.85814450808325782418251037597657233e-06
0.712499999999999999999999999999999923,quad,expanded,3.85814450808325782418251037049477491e-06
0.712499999999999999999999999999999923,quad,horner,3.85814450808325782418251037636284271e-06
0.712750018,float,direct,3.82472444e-06
0.712750018,float,expanded,1.26287341e-06
0.712750018,float,horner,2.32458115e-06
0.71274999999999999,double,direct,3.8247264004710918e-06
0.71274999999999999,double,expanded,3.8247264067883813e-06
0.71274999999999999,double,horner,3.8247264023683059e-06
0.712749999999999999999999999999999918,quad,direct,3.82472640047109203809868526554204159e-06
0.712749999999999999999999999999999918,quad,expanded,3.82472640047109203809868526665292783e-06
0.712749999999999999999999999999999918,quad,horner,3.82472640047109203809868527050478772e-06
0.713,float,direct,3.79156927e-06
0.713,float,expanded,1.60187483e-06
0.713,float,horner,7.86781311e-06
0.71299999999999997,double,direct,3.7915690308774723e-06
0.71299999999999997,double,expanded,3.7915690285494907e-06
0.71299999999999997,double,horner,3.7915690342948949e-06
0.71300000000000000000000000000000001,quad,direct,3.79156903087746770042284899999999832e-06
0.71300000000000000000000000000000001,quad,expanded,3.79156903087746770042284899945957397e-06
0.71300000000000000000000000000000001,quad,horner,3.79156903087746770042284899887577646e-06
0.713249981,float,direct,3.75867307e-06
0.713249981,float,expanded,5.85243106e-06
0.713249981,float,horner,6.19888306e-06
0.71324999999999994,double,direct,3.7586705894160271e-06
0.71324999999999994,double,expanded,3.7586705847539315e-06
0.71324999999999994,double,horner,3.7586705888825733e-06
0.713250000000000000000000000000000005,quad,direct,3.7586705894160190703664900942316049e-06
0.713250000000000000000000000000000005,quad,expanded,3.7586705894160190703664900892253438e-06
0.713250000000000000000000000000000005,quad,horner,3.75867058941601907036649009186146041e-06
0.713499963,float,direct,3.72603427e-06
0.713499963,float,expanded,3.30433249e-06
0.713499963,float,horner,3.4570694e-06
